UserId,Orders,ChartType
102,4,Bar
435,8,Line
758,2,Line
135,7,Pie
740,9,Line
743,2,Line
257,8,Bar
796,9,Pie
331,8,Line
657,6,Line
347,4,Pie
581,2,Pie
625,3,Line
318,1,Bar
774,1,Pie
102,4,Bar
435,8,Line
758,2,Line
135,7,Pie
740,9,Line
743,2,Line
257,8,Bar
796,9,Pie
331,8,Line
657,6,Line
347,4,Pie
581,2,Pie
625,3,Line
318,1,Bar
774,1,Pie
230,9,Line
996,7,Pie
849,5,Pie
703,3,Pie
541,1,Line
531,1,Bar
350,3,Line
782,1,Line
103,7,Bar
536,3,Pie
554,1,Pie
974,1,Bar
785,9,Line
823,4,Pie
476,1,Pie
729,1,Bar
815,1,Bar
637,7,Line
996,9,Pie
858,7,Pie
685,1,Bar
466,7,Bar
504,8,Line
808,2,Pie
769,4,Bar
